Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NE,10,7,70.00%,13,3,11.6%,5,4,80.00%,13,3,13.5%,All James White red zone receiving plays,James White,2017
OAK,9,3,33.33%,26,3,19.6%,8,3,37.50%,26,3,28.6%,All Amari Cooper red zone receiving plays,Amari Cooper,2017
2TM,9,4,44.44%,41,1,0,2,1,50.00%,9,0,0,All A.J. Derby red zone receiving plays,A.J. Derby,2017
IND,9,6,66.67%,44,4,23.7%,6,4,66.67%,24,3,37.5%,All Jack Doyle red zone receiving plays,Jack Doyle,2017
LAR,9,6,66.67%,52,4,11.8%,5,3,60.00%,13,2,14.3%,All Todd Gurley red zone receiving plays,Todd Gurley,2017
ATL,9,7,77.78%,39,2,13.4%,5,3,60.00%,6,2,14.3%,All Austin Hooper red zone receiving plays,Austin Hooper,2017
KC,9,6,66.67%,12,2,12.5%,3,2,66.67%,6,2,13.6%,All Kareem Hunt red zone receiving plays,Kareem Hunt,2017
CLE,9,2,22.22%,8,1,20.9%,6,2,33.33%,8,1,24.0%,All David Njoku red zone receiving plays,David Njoku,2017
SEA,9,4,44.44%,33,3,13.6%,5,3,60.00%,24,3,12.5%,All Paul Richardson red zone receiving plays,Paul Richardson,2017
MIA,9,5,55.56%,37,2,13.6%,1,1,100.00%,2,1,2.9%,All Kenny Stills red zone receiving plays,Kenny Stills,2017
MIA,9,4,44.44%,28,3,13.6%,7,3,42.86%,13,2,20.0%,All Julius Thomas red zone receiving plays,Julius Thomas,2017
LAR,9,6,66.67%,35,3,11.8%,4,2,50.00%,5,2,11.4%,All Robert Woods red zone receiving plays,Robert Woods,2017
